feature,category,phishing_mean,benign_mean,phishing_median,benign_median,mean_diff_phish_minus_benign,median_diff_phish_minus_benign,mannwhitney_p_value,ks_p_value,auc_direction_phish_larger,single_feature_auc,cliffs_delta,q_value,is_effective
iat_iqr,iat_stats,0.1334674862852477,0.05807388905115667,0.0023360848426819125,0.0011524558067321777,0.07539359723409103,0.0011836290359497348,3.2958255117542234e-85,9.570194532870594e-158,0.5798613711371137,0.5798613711371137,0.15972274227422734,5.493042519590373e-85,False
iat_q25,iat_stats,0.028493392364968537,0.011294046396092817,0.0,0.0,0.01719934596887572,0.0,2.8993676268321037e-128,2.8717633508190633e-97,0.5794645614561457,0.5794645614561457,0.15892912291229133,6.74271541123745e-128,False
pkt_len_q95,packet_length_stats,1246.2036253625363,1381.261785,1466.0,1466.0,-135.05815963746363,0.0,3.2299882672094363e-152,1.0854839977270997e-102,0.42092260226022604,0.579077397739774,-0.15815479547954792,9.499965491792459e-152,False
pkt_len_median,packet_length_stats,677.999599959996,820.08445,352.0,898.0,-142.08485004000397,-546.0,1.7732795222631927e-81,3.3064500387390747e-171,0.42271326632663264,0.5772867336733674,-0.15457346734673472,2.8601282617148273e-81,False
pkt_gt_1024_ratio,packet_length_distribution,0.3904264389671743,0.46566470888373285,0.4267425320056899,0.4951695067926437,-0.07523826991655852,-0.06842697478695381,1.0354192749820115e-79,1.3759113550652468e-194,0.4228550205020502,0.5771449794979497,-0.1542899589958996,1.6435226587016056e-79,False
mean_bytes_per_packet,basic_scale_time,638.0004838688083,737.3682999824548,692.7377647918188,771.2058655786611,-99.36781611364654,-78.46810078684234,4.2074915883659657e-76,4.184795043532566e-193,0.4246435393539354,0.5753564606460646,-0.1507129212921292,6.473063982101486e-76,False
pkt_len_mean,packet_length_stats,638.0004838688083,737.3682999824548,692.7377647918188,771.2058655786611,-99.36781611364654,-78.46810078684234,4.2074915883659657e-76,4.184795043532566e-193,0.4246435393539354,0.5753564606460646,-0.1507129212921292,6.473063982101486e-76,False
iat_mad,iat_stats,0.004794564041117093,0.0022844145969729305,4.100799560546875e-05,2.7179718017023013e-05,0.002510149444144162,1.3828277588445737e-05,1.6882959693549108e-74,1.2670205092503936e-129,0.5741576557655765,0.5741576557655765,0.14831531153115307,2.5580241959922894e-74,False
iat_max_fraction,iat_stats,0.21693395987243377,0.17920737355724345,0.1503817107758261,0.11994161375394274,0.037726586315190325,0.030440097021883356,2.2437494201384275e-72,6.122852304017965e-57,0.5734564256425643,0.5734564256425643,0.14691285128512854,3.2996315002035695e-72,False
iat_median,iat_stats,0.03256818971367809,0.013346120093254001,4.1007995609021464e-05,2.7179718017023013e-05,0.019222069620424092,1.382827759199845e-05,5.825465619028611e-73,3.1499193111195267e-130,0.5733694119411942,0.5733694119411942,0.14673882388238835,8.694724804520315e-73,False
pkt_len_rms,packet_length_stats,825.0699331835066,945.9597912593503,945.7497866699073,1006.434627416279,-120.88985807584368,-60.68484074637172,4.0469004713166115e-70,2.542888792491063e-186,0.4277440494049405,0.5722559505950595,-0.14451190119011903,5.865073146835669e-70,False
first_5_bytes_sum,early_window,1413.95399539954,1595.8549,1706.0,2017.0,-181.90090460046008,-311.0,8.057071199077532e-69,5.851765428050232e-103,0.42850415541554154,0.5714958445844585,-0.1429916891689169,1.1510101712967902e-68,False
first_5_pkt_len_mean,early_window,282.8327382738274,319.17625999999996,341.2,403.4,-36.34352172617258,-62.19999999999999,1.0518331227865961e-68,5.851765428050232e-103,0.42856608160816084,0.5714339183918391,-0.14286783678367831,1.4814551025163325e-68,False
first_20_duration,early_window,1.783906396573419,1.2752294392877501,0.813040018081665,0.722054123878479,0.5086769572856689,0.09098589420318604,1.84864981400213e-64,5.442105265906156e-77,0.569211206120612,0.569211206120612,0.1384224122412241,2.5323970054823698e-64,False
cumulative_bytes_auc_norm,cumulative_shape,0.49150159234418833,0.534499951580525,0.49513098337243566,0.5355414645456917,-0.04299835923633666,-0.040410481173256074,1.456140114875338e-52,1.4326578102403044e-38,0.437706300630063,0.562293699369937,-0.12458739873987401,1.9677569119937e-52,False
pkt_len_max,packet_length_stats,1278.6441644164418,1392.2039,1466.0,1466.0,-113.55973558355822,0.0,3.822544091634517e-92,5.329175661859051e-46,0.44376876187618763,0.5562312381238124,-0.11246247624762473,6.825971592204495e-92,False
pkt_len_range,packet_length_stats,1223.3274327432744,1337.6514,1412.0,1412.0,-114.32396725672561,0.0,7.703687217991312e-92,6.543778915079906e-46,0.4438624262426243,0.5561375737573757,-0.11227514751475143,1.351524073331809e-91,False
first_10_duration,early_window,1.373753458920187,0.9062169892502141,0.4930880069732667,0.4519824981689453,0.46753646966997287,0.0411055088043214,1.6050222120458484e-42,4.005598680274551e-62,0.5557968746874687,0.5557968746874687,0.11159374937493749,2.111871331639274e-42,False
iat_q10,iat_stats,0.027536260744299528,0.011038121009268664,0.0,0.0,0.016498139735030865,0.0,1.4459431523918577e-117,5.525009215646168e-52,0.5545823332333233,0.5545823332333233,0.10916466646664658,3.0764747923231013e-117,False
pkt_len_skew,packet_length_stats,0.21203124263404188,-0.02369268399270525,0.0,-0.05440786422427788,0.23572392662674713,0.05440786422427788,1.1439221875669725e-35,5.1778172764124125e-93,0.5508834633463346,0.5508834633463346,0.10176692669266929,1.4856132306064577e-35,False
